,Sentence
2411,great shoes good mileage
98,lovely and comfortable
7155,you get what you pay for when i comes to sneakers
4798,great running shoes with style
3822,good value for your money
8460,hot spots
603,not built to last
4503,my second pair
2547,very happy for price
5499,great shoe
5339,my favorite pair
7709,buyer beware
3607,good fit
2611,love my asics
1901,great
2923,foot sliding problem for me
7703,cheap chinese junk
4618,excellent running shoes
6409,love under armour products
5042,quality has gone down
1936,need wide shoe get this one
5364,so comfortable and cute
3799,great athletic shoe
3678,really nice jogging shoe
7002,style comfort compliments
5416,great shoe
3613,ditch the dad shoes
8515,typical midrange asics good as a low mile runner
7760,good solid overall sneakers
4164,weird fit
7294,great shoe
3788,great fit
2354,too small
5537,gift for niece was much appreciated
4514,best shoes ever purchased
7888,very pleased
6828,didn’t fit
100,love this shoe and getting more right now
1036,great work shoes
6506,terrible quality
8534,two tight in the toe box for me the length was as expected
2927,ordered wide
3844,just what i wanted
3242,very thin insole
5665,runs small
7236,run a little small
4285,comfortable enough they are cut in a way they
2282,not a good value
2218,very wide
1460,great shoe
1222,ultra performing shoe looks and feels great
4336,kedan bien
1802,great running shoe
159,unisex if you want em to be
4409,omg just buy
4464,great running shoe for wide feet
4501,brooks ghost has the most
270,super comfortable
5787,not good for narrow heel
5203,perfect
4211,three stars
4073,thumbs down
7436,good deal
3079,pattern gets in way of toes
8418,wrong color but good asics shoes
3868,very small and narrow fit
4851,painful so ugly look cheap
7791,excellent fit and comfort
4870,possibly good for running but for standing all day there s issues
8275,heels worn out after three weeks
93,the comfiest shoes
13,u get what u pay for 🤷‍♀️
3113,too squishy
4954,nice looking shoe
6591,very small
2552,very comfortable
1821,size up
4914,feels great logos are already peeling off though
8600,sent em back
3292,no satisfied
6223,quality comfortable but needs a higher arch support
4446,all terrain walking comfort
6142,they fit perfectly months later update
6078,using this as a walking shoe
4520,comfortable durable and worth every penny
8218,poor quality
2889,older versions are better
2915,runs way small
1280,very comfortable
1934,light weight
8108,the laces
7190,good and consistent your shoes last for a while
5462,the best shoe
3631,comfortable for work or play
1068,sizes are a little on the small side
540,disappointed
3281,not a good running shoe
2753,comfortable
2090,great shoes
6835,on the small side
4706,best running shoes ever
1341,wide to fit my feet
8219,quality control issues
3279,pésimos
4358,ghost s vs ghost s
5341,super comfy and light
2036,great shoes
69,didn t have to break them in
2462,decent shoe for a good price
539,these are junk
3426,great look great fit
3988,i didn’t like the shoes fit
5679,very uncomfortable
8065,very comfortable shoes
3243,laces won t stay tied
2269,very light weight
2855,they seem comfortable
5593,comfortable but don’t buy on amazon
2285,good fit but got some tear in days
483,cute shoes
2199,months and it s starting to fall apart
4475,stable comfortable very high quality
6864,probably a minor defect
1410,comodisimas
2286,size is not true
6584,lasted month before they started falling apart
8177,great supportive show
5038,not quite as good as the earlier pairs
7046,great running shoe
2123,great purchase
6679,not a very good shoe
4170,good shoe for the money
2687,awesome shoes
4436,fit great very comfortable
194,i love these
4337,star
2817,pretty good
260,not a running shoe more of a casual sneaker
5840,half size too small
876,would have been nice but i was sent the wrong size
5450,great shoes
6248,you better work
3511,very comfy but not running shoes
1611,para nada cómodos bastante toscos hasta creería que son imitaciones
7711,order a half size up
6323,very well made and durable model of ua sneakers
1635,sizes isn t correct
422,awesome shoe
3366,snug fit but not too small good looks for sure
4992,they don’t grip well on wet asphalt
1121,adnormal foot size still fits
5791,buy a size bigger
1488,ingrown nail
7014,comfortable and cute
6524,under armour redesigned the extra wide e size to be more narrow
1206,great sneaker at a great price
4761,very comfortable
5256,no pain so comfortable breathable and flexible
1507,not wide as it says
2715,supportive and fits very well
7117,great shoe
1468,nice
1779,the toe box is more than adequate on this shoe
5969,narrow tight no support
3704,great looking shoes
4219,not good
5987,don’t buy
6415,value
5756,the sneaker purchase
2450,love the stability of this shoe
6308,good looking shoe fits like a glove nice
2004,a great tennis shoe
2579,i am ready to run now with my grandson and his cross country team
3185,very comfortable and fits as expected but
7915,thumbs up to asics
3718,great deal purchased as part of amazon prime deal
2383,comfortable light weight fit well
381,comfy for the gym or daily use
5194,comfortable and stylish
3640,great shoe
5136,good support comfortable affordable
38,comfortable for every day
7193,very accurate fit and good quality
7379,i love these shoes
2348,sleek look which this shoe isn’t
1860,highly recommend new balance
3109,stitching issue at toe of shoes
6826,no support
6754,mainly a leisure shoe
4471,comfort from the get go
7964,gift for my son
5454,nice looking
811,no support for high arch feet
3628,excelente
8365,fell apart very quickly with light use
1882,very comfy
4733,thin width
4722,comfortable daily walking shoe
2899,new favorite sneaker update finding a new shoe
7087,comfy
7287,tts
5501,light weight
1310,comfort pair
5118,i want these in more colors
5634,too small
1911,light and comfortable with good support and fits as expected
7246,extremely comfy
3409,this shoe listed as a running shoe fits more true to size than the tazon cross trainer
2422,just going to keep buying these as long as they make them
5408,love these
6004,don’t last
2928,like running with a brick tied to your foot
1954,great fit
7641,one star
4030,heel counter sucks
2032,clean bold look
5330,not bad on comfort
6160,very happy with purchase
7474,love it
7191,nike
1044,very comfortable shoe
274,good for the price
3321,theres a seam along the top of my foot that is hard and walking hurts my foot
7420,i bought these and they were a great price i bought them a bit big so
5758,beware return fee
6546,not for long periods of time
568,wide
8442,knock off counterfeit product be aware
183,nice adidas shoe
5912,too wide and no box
328,very lightweight and comfortable
3630,calidad
6019,fits like a much more expensive running shoe
3062,save your feet buy other shoes
7310,great for plantar fasciitis
2664,super comfy
36,comfortable light weight and worth giving a chance
8199,great price for these shoes
4925,shoes that wore out after months of general use
717,too long laces
4713,good running shoes
8173,very nice
6402,good quality
4720,pricey but good
6848,garbage sneakers
4420,well made but just to hot to recommend in florida
6847,good for walking not for running
6568,just meh
284,good shoes
3170,not going to last long
225,great walking shoes
2612,not a runner yet
4525,attractive and functional
6440,super comfortable
8245,these shoes are foot grinders
5484,good for the price
7689,three stars
2791,great for lengthy day
7651,almost satisfied
6315,does not run wide and a bit small
5802,need to see a shoe in person before buying
4427,first impression brooks ghost shoes are amazing
1448,light weight
6071,great initial impression
153,would buy again
1232,i buy multiple pairs great shoe
2437,i love these shoes
1442,buen precio buena calidad
3116,didn t last long
6347,great shoes
2786,needs more cushion
2925,wide width is very narrow
2477,pt dr recommended
7359,fits well
3665,the arch support was in the right place
4585,yay brooks
4916,nice but
4462,light and perfect
1107,great for hr day on your feet 😀
7038,not a ee width
7967,now on my rd pair — straight ahead plodders
4764,right for me
6789,looked great
176,light and comfortable sneaker
3103,not a good fit
6361,a true wide width tennis shoe
6184,week one wearing at work in the heat
89,super comfortable
8054,good shoe for neutral or under pronation runners
8661,uncomfortable
3429,hands down puma has the best looking shoes
1281,great fit comfortable for standing
5380,size up
2908,sole is too thin flexible for this to be a trail shoe
3147,not as advertised
6780,good for the price
2233,extra wide really isn t wider
5601,cute but the fit is off
3126,not conparable to my asics gel gt
6628,not the worst
2302,two different sized
520,the hype isn t real
3106,meh
6085,excelente y muy cómodos me quitaron el dolor del tobillo
6978,ok
826,not the cushy sole i expected no squish at all
7567,very comfortable but the fabric at the toes has already gotten
3653,really good job puma
4692,love my brooks ghosts
959,cute nonfunctional athleisure
2950,comfortable shoes terrible laces
362,cute shoe
4593,best shoe purchase yet
3716,these are great i just tried them on and they are so
